,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree_centrality,weighted_pagerank,composite_centrality,node_type,weight,label,degree,repo_id,repo_name,in_lcc
R_16563587,0.04176262858897589,0.34641091126446777,0.0741311877286182,0.13766971076229448,0.01686510909406909,0.6536158452326117,0.01686510909406909,0.5989798451575743,Repo,1,R_16563587,276,16563587,cockroachdb/cockroach,True
R_60553554,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,2.6448758410548713e-05,0.00015353907569476432,2.6448758410548713e-05,0.10564694275608413,Repo,1,R_60553554,1,60553554,,True
R_292888939,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,2.6448758410548713e-05,0.00015353907569476432,2.6448758410548713e-05,0.10564694275608413,Repo,1,R_292888939,1,292888939,,True
R_141339868,0.0006141563027790573,0.2844585248315559,0.00022548233461746643,0.011830172148519736,0.0020704237627868645,0.09273760171963764,0.0020704237627868645,0.14495618107410224,Repo,1,R_141339868,4,141339868,,True
R_27576132,0.0015353907569476432,0.28918122023134496,0.0014018725266420182,0.022801236589394674,0.002464887699779445,0.1575310916628282,0.002464887699779445,0.16230950884243317,Repo,1,R_27576132,10,27576132,,True
R_27729907,0.0027637033625057578,0.30996256138474254,0.004953564677714006,0.03809203496160756,0.0019558959940180563,0.07984031936127745,0.0019558959940180563,0.1794239107103659,Repo,1,R_27729907,18,27729907,,True
R_13310527,0.0016889298326424075,0.31782829793598566,0.004900681747615706,0.041156857003023274,0.0005415697398937782,0.011668969752802088,0.0005415697398937782,0.16509949471463206,Repo,1,R_13310527,11,13310527,,True
R_250652185,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,7.312423522732076e-05,0.0023030861354214646,7.312423522732076e-05,0.10618402331057422,Repo,1,R_250652185,1,250652185,,True
R_927442,0.0032243205895900505,0.33027665526888406,0.019923478802883907,0.05425293169129575,0.005933129918283651,0.3377859665284815,0.005933129918283651,0.2621681812471369,Repo,1,R_927442,23,927442,postgres/postgres,True
R_454132203,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,3.3116683670087576e-05,0.00046061722708429296,3.3116683670087576e-05,0.10572366854958273,Repo,1,R_454132203,1,454132203,,True
R_423955808,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,2.9782721040318144e-05,0.00030707815138952864,2.9782721040318144e-05,0.10568530565283342,Repo,1,R_423955808,1,423955808,,True
R_48004987,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,0.0002364884040860229,0.009826500844464917,0.0002364884040860229,0.10806380525128949,Repo,1,R_48004987,1,48004987,,True
R_27096595,0.0010747735298633502,0.2886182542557045,0.00033988609410726974,0.025270961369560595,0.0011722287257036586,0.06172270842929525,0.0011722287257036586,0.1454420317491865,Repo,1,R_27096595,7,27096595,,True
R_302670797,0.0007676953784738216,0.2900495927931207,0.0018432105819853116,0.016033950999464985,6.955518939838082e-05,0.0016889298326424075,6.955518939838082e-05,0.12879059191449319,Repo,1,R_302670797,5,302670797,,True
R_521695479,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,3.3116683670087576e-05,0.00046061722708429296,3.3116683670087576e-05,0.10572366854958273,Repo,1,R_521695479,1,521695479,,True
R_571342238,0.00046061722708429296,0.26796973518284994,1.7594659953717263e-05,0.011088279985741576,0.0011472076181959256,0.04897896514662982,0.0011472076181959256,0.12670943921028574,Repo,1,R_571342238,3,571342238,,True
R_49441405,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,0.00020648274041809803,0.008444649163212038,0.00020648274041809803,0.1077185391805459,Repo,1,R_49441405,1,49441405,,True
R_192925833,0.0006141563027790573,0.27015001271294176,0.00027671883001194266,0.010396641704337416,6.249892035130516e-05,0.001996007984031936,6.249892035130516e-05,0.11545562155718772,Repo,1,R_192925833,4,192925833,,True
R_23096959,0.004913250422232458,0.3296106716302156,0.019564063597217147,0.06206460521516681,0.0016297827047554937,0.0675571933056963,0.0016297827047554937,0.21925132505631212,Repo,1,R_23096959,32,23096959,,True
R_190994178,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,3.645064629985701e-05,0.0006141563027790573,3.645064629985701e-05,0.10576203144633202,Repo,1,R_190994178,1,190994178,,True
R_2883574,0.00046061722708429296,0.26652452025586354,0.0008235479822574752,0.009579088913343265,4.843184291108465e-05,0.0007676953784738216,4.843184291108465e-05,0.11360048404782067,Repo,1,R_2883574,3,2883574,,True
R_9120526,0.0010747735298633502,0.3004524460363842,0.0022131582651560206,0.03236378625233758,0.0003950811239791299,0.01566098572086596,0.0003950811239791299,0.14712283637922555,Repo,1,R_9120526,7,9120526,,True
R_8514,0.00046061722708429296,0.28482709319989274,5.3681622759812526e-05,0.012860466625750392,3.940999701928787e-05,0.0006141563027790573,3.940999701928787e-05,0.12175430140742524,Repo,1,R_8514,3,8514,,True
R_253650720,0.00015353907569476432,0.2572950720426202,0.0,0.005493720187481848,2.6448758410548713e-05,0.00015353907569476432,2.6448758410548713e-05,0.10564694275608413,Repo,1,R_253650720,1,253650720,,True
