node,clustering_coefficient,node_type,weight,label,degree,repo_id,repo_name,community_id,community_size
R_16563587,0.0032287822878228783,Repo,1,R_16563587,276,16563587,cockroachdb/cockroach,6,219
R_60553554,0.0,Repo,1,R_60553554,1,60553554,,6,219
R_292888939,0.0,Repo,1,R_292888939,1,292888939,,6,219
R_141339868,0.16666666666666666,Repo,1,R_141339868,4,141339868,,8,171
R_27576132,0.15555555555555556,Repo,1,R_27576132,10,27576132,,2,855
R_27729907,0.06535947712418301,Repo,1,R_27729907,18,27729907,,2,855
R_13310527,0.16363636363636364,Repo,1,R_13310527,11,13310527,,8,171
R_250652185,0.0,Repo,1,R_250652185,1,250652185,,6,219
R_927442,0.09047619047619047,Repo,1,R_927442,23,927442,postgres/postgres,3,647
R_454132203,0.0,Repo,1,R_454132203,1,454132203,,6,219
R_423955808,0.0,Repo,1,R_423955808,1,423955808,,6,219
R_48004987,0.0,Repo,1,R_48004987,1,48004987,,6,219
R_27096595,0.38095238095238093,Repo,1,R_27096595,7,27096595,,2,855
R_302670797,0.0,Repo,1,R_302670797,5,302670797,,10,154
R_521695479,0.0,Repo,1,R_521695479,1,521695479,,6,219
R_571342238,0.6666666666666666,Repo,1,R_571342238,3,571342238,,2,855
R_49441405,0.0,Repo,1,R_49441405,1,49441405,,6,219
R_192925833,0.16666666666666666,Repo,1,R_192925833,4,192925833,,17,99
R_23096959,0.08266129032258064,Repo,1,R_23096959,32,23096959,,2,855
R_190994178,0.0,Repo,1,R_190994178,1,190994178,,6,219
R_2883574,0.0,Repo,1,R_2883574,3,2883574,,14,107
R_9120526,0.09523809523809523,Repo,1,R_9120526,7,9120526,,1,987
R_8514,0.6666666666666666,Repo,1,R_8514,3,8514,,8,171
R_253650720,0.0,Repo,1,R_253650720,1,253650720,,6,219
R_106737290,0.0,Repo,1,R_106737290,1,106737290,,6,219
R_121870635,0.0,Repo,1,R_121870635,1,121870635,,6,219
R_252650176,0.19047619047619047,Repo,1,R_252650176,7,252650176,,1,987
R_7823926,0.11428571428571428,Repo,1,R_7823926,15,7823926,,2,855
R_50538484,0.0,Repo,1,R_50538484,1,50538484,,6,219
R_21440127,0.0,Repo,1,R_21440127,1,21440127,,6,219
R_134603838,0.0,Repo,1,R_134603838,1,134603838,,6,219
R_10320116,0.23809523809523808,Repo,1,R_10320116,7,10320116,,2,855
R_70208775,0.0,Repo,1,R_70208775,1,70208775,,6,219
R_125238132,0.0,Repo,1,R_125238132,1,125238132,,6,219
R_133411492,0.0,Repo,1,R_133411492,1,133411492,,6,219
R_790359,0.0,Repo,1,R_790359,1,790359,,6,219
R_169087223,0.0,Repo,1,R_169087223,1,169087223,,6,219
R_204033634,0.1,Repo,1,R_204033634,5,204033634,,2,855
R_161155314,0.0,Repo,1,R_161155314,1,161155314,,6,219
R_145076038,0.0,Repo,1,R_145076038,1,145076038,,6,219
R_27483832,0.5,Repo,1,R_27483832,4,27483832,,2,855
R_352804165,0.0,Repo,1,R_352804165,1,352804165,,6,219
R_8507859,0.0,Repo,1,R_8507859,3,8507859,,6,219
R_274705319,0.0,Repo,1,R_274705319,1,274705319,,6,219
R_273550906,0.0,Repo,1,R_273550906,1,273550906,,6,219
R_183781681,0.0,Repo,1,R_183781681,1,183781681,,6,219
R_664452562,0.015151515151515152,Repo,1,R_664452562,12,664452562,,0,1244
R_48062626,0.0,Repo,1,R_48062626,1,48062626,,6,219
R_430398283,0.0,Repo,1,R_430398283,1,430398283,,6,219
R_9646845,0.0,Repo,1,R_9646845,1,9646845,,6,219
R_102792138,0.0,Repo,1,R_102792138,1,102792138,,6,219
R_63840208,0.0,Repo,1,R_63840208,1,63840208,,6,219
R_473747677,0.0,Repo,1,R_473747677,1,473747677,,6,219
R_11206255,0.0,Repo,1,R_11206255,1,11206255,,6,219
R_341316058,0.0,Repo,1,R_341316058,1,341316058,,6,219
R_52773157,0.0,Repo,1,R_52773157,1,52773157,,6,219
R_379865325,0.0,Repo,1,R_379865325,1,379865325,,6,219
R_470755469,0.0,Repo,1,R_470755469,1,470755469,,6,219
R_200437066,0.1,Repo,1,R_200437066,5,200437066,,7,178
R_438013940,0.0,Repo,1,R_438013940,1,438013940,,6,219
R_32769228,0.0,Repo,1,R_32769228,1,32769228,,6,219
R_23641816,0.06666666666666667,Repo,1,R_23641816,6,23641816,,3,647
R_42610470,0.0,Repo,1,R_42610470,1,42610470,,6,219
R_218158416,0.0,Repo,1,R_218158416,1,218158416,,6,219
R_598571781,0.0,Repo,1,R_598571781,1,598571781,,6,219
R_594233702,0.0,Repo,1,R_594233702,1,594233702,,6,219
R_132145189,0.3333333333333333,Repo,1,R_132145189,7,132145189,,2,855
R_79954708,1.0,Repo,1,R_79954708,2,79954708,,6,219
R_96004375,0.0,Repo,1,R_96004375,4,96004375,,18,89
R_691576972,0.0,Repo,1,R_691576972,1,691576972,,6,219
R_587943248,0.0,Repo,1,R_587943248,1,587943248,,6,219
R_579303566,0.0,Repo,1,R_579303566,1,579303566,,6,219
R_11125589,0.0,Repo,1,R_11125589,2,11125589,,6,219
R_191461487,0.0,Repo,1,R_191461487,1,191461487,,6,219
R_84596297,0.0,Repo,1,R_84596297,1,84596297,,6,219
R_222960238,0.0,Repo,1,R_222960238,1,222960238,,6,219
R_24385451,0.0,Repo,1,R_24385451,1,24385451,,6,219
R_8397993,1.0,Repo,1,R_8397993,2,8397993,,6,219
R_19608522,0.3333333333333333,Repo,1,R_19608522,6,19608522,,2,855
R_3370128,0.05555555555555555,Repo,1,R_3370128,9,3370128,,0,1244
R_991475,1.0,Repo,1,R_991475,2,991475,,6,219
R_54502204,0.0,Repo,1,R_54502204,1,54502204,,6,219
R_96237042,0.4,Repo,1,R_96237042,5,96237042,,2,855
R_423907006,1.0,Repo,1,R_423907006,2,423907006,,6,219
R_53954979,1.0,Repo,1,R_53954979,2,53954979,,6,219
R_317655208,0.0,Repo,1,R_317655208,1,317655208,,6,219
R_2651432,0.6666666666666666,Repo,1,R_2651432,4,2651432,,6,219
R_275084371,0.0,Repo,1,R_275084371,1,275084371,,6,219
R_4407129,0.06666666666666667,Repo,1,R_4407129,12,4407129,postgis/postgis,6,219
R_385694529,0.0,Repo,1,R_385694529,1,385694529,,6,219
R_294223530,0.0,Repo,1,R_294223530,1,294223530,,6,219
R_294224347,0.0,Repo,1,R_294224347,1,294224347,,6,219
R_249722766,0.0,Repo,1,R_249722766,1,249722766,,6,219
R_593688846,0.0,Repo,1,R_593688846,1,593688846,,6,219
R_493035916,0.0,Repo,1,R_493035916,1,493035916,,6,219
R_645378455,0.0,Repo,1,R_645378455,1,645378455,,6,219
R_248868816,0.0,Repo,1,R_248868816,1,248868816,,6,219
R_4164482,0.0,Repo,1,R_4164482,3,4164482,,6,219
R_102268227,0.0,Repo,1,R_102268227,1,102268227,,6,219
R_408656417,0.0,Repo,1,R_408656417,1,408656417,,6,219
R_642457312,0.0,Repo,1,R_642457312,1,642457312,,6,219
R_187943341,0.16666666666666666,Repo,1,R_187943341,4,187943341,,9,162
R_94883751,0.0,Repo,1,R_94883751,1,94883751,,6,219
R_31228039,0.0,Repo,1,R_31228039,1,31228039,,6,219
R_275647768,0.0,Repo,1,R_275647768,1,275647768,,6,219
R_207618995,0.0,Repo,1,R_207618995,1,207618995,,6,219
R_27729880,0.16363636363636364,Repo,1,R_27729880,11,27729880,,3,647
R_184463891,0.047619047619047616,Repo,1,R_184463891,7,184463891,,2,855
R_187086161,0.26666666666666666,Repo,1,R_187086161,6,187086161,,2,855
R_56550961,0.0,Repo,1,R_56550961,2,56550961,,6,219
R_167666671,0.0,Repo,1,R_167666671,1,167666671,,6,219
R_715798276,0.0,Repo,1,R_715798276,1,715798276,,6,219
R_715728010,0.0,Repo,1,R_715728010,1,715728010,,6,219
R_26289803,0.0,Repo,1,R_26289803,1,26289803,,6,219
R_177727591,0.13333333333333333,Repo,1,R_177727591,6,177727591,,2,855
R_96570421,1.0,Repo,1,R_96570421,2,96570421,,6,219
R_81387692,0.0,Repo,1,R_81387692,1,81387692,,6,219
R_63375710,1.0,Repo,1,R_63375710,2,63375710,,6,219
R_164267980,0.0,Repo,1,R_164267980,1,164267980,,6,219
R_346109201,0.0,Repo,1,R_346109201,1,346109201,,6,219
R_75918965,0.0,Repo,1,R_75918965,1,75918965,,6,219
R_347277349,0.0,Repo,1,R_347277349,2,347277349,,6,219
R_385693693,0.0,Repo,1,R_385693693,1,385693693,,6,219
R_445569784,0.0,Repo,1,R_445569784,1,445569784,,6,219
R_176278485,0.03571428571428571,Repo,1,R_176278485,10,176278485,sqlite/sqlite,13,120
R_50629145,0.0,Repo,1,R_50629145,1,50629145,,6,219
R_271140688,0.0,Repo,1,R_271140688,1,271140688,,6,219
R_94003494,0.0,Repo,1,R_94003494,1,94003494,,6,219
R_91074692,0.3333333333333333,Repo,1,R_91074692,3,91074692,,17,99
R_488299528,0.0,Repo,1,R_488299528,1,488299528,,6,219
R_203259544,0.0,Repo,1,R_203259544,1,203259544,,6,219
R_174522026,0.0,Repo,1,R_174522026,1,174522026,,6,219
R_187694683,0.0,Repo,1,R_187694683,1,187694683,,6,219
R_228868155,0.0,Repo,1,R_228868155,1,228868155,,6,219
R_190416463,0.050724637681159424,Repo,1,R_190416463,24,190416463,,2,855
R_69170505,0.0,Repo,1,R_69170505,1,69170505,,6,219
R_63925755,0.0,Repo,1,R_63925755,1,63925755,,6,219
R_20929025,0.0,Repo,1,R_20929025,4,20929025,,15,105
R_77703394,0.0,Repo,1,R_77703394,1,77703394,,6,219
R_27522271,0.06267806267806268,Repo,1,R_27522271,27,27522271,,2,855
R_45226685,0.3,Repo,1,R_45226685,5,45226685,,2,855
R_192366753,0.0,Repo,1,R_192366753,1,192366753,,6,219
R_172104891,0.0,Repo,1,R_172104891,2,172104891,,6,219
R_55906763,0.0,Repo,1,R_55906763,1,55906763,,6,219
R_178576091,0.5,Repo,1,R_178576091,4,178576091,,2,855
R_480668717,0.0,Repo,1,R_480668717,1,480668717,,6,219
R_261141187,0.0,Repo,1,R_261141187,1,261141187,,6,219
R_560621227,0.0,Repo,1,R_560621227,1,560621227,,6,219
R_121898717,0.0,Repo,1,R_121898717,1,121898717,,6,219
R_43441403,1.0,Repo,1,R_43441403,2,43441403,,6,219
R_394754122,0.0,Repo,1,R_394754122,1,394754122,,6,219
R_242765280,0.0,Repo,1,R_242765280,1,242765280,,6,219
R_111364256,0.0,Repo,1,R_111364256,1,111364256,,6,219
R_159271175,0.0,Repo,1,R_159271175,5,159271175,,0,1244
