node,degree,clustering_coefficient,degree_group
R_16563587,272,0.0032287822878228783,"(251.6, 287.4]"
R_60553554,1,0.0,"(0.641, 36.8]"
R_292888939,1,0.0,"(0.641, 36.8]"
R_141339868,4,0.16666666666666666,"(0.641, 36.8]"
R_27576132,10,0.15555555555555556,"(0.641, 36.8]"
R_27729907,18,0.06535947712418301,"(0.641, 36.8]"
R_13310527,11,0.16363636363636364,"(0.641, 36.8]"
R_250652185,1,0.0,"(0.641, 36.8]"
R_927442,21,0.09047619047619047,"(0.641, 36.8]"
R_454132203,1,0.0,"(0.641, 36.8]"
R_423955808,1,0.0,"(0.641, 36.8]"
R_48004987,1,0.0,"(0.641, 36.8]"
R_27096595,7,0.38095238095238093,"(0.641, 36.8]"
R_302670797,5,0.0,"(0.641, 36.8]"
R_521695479,1,0.0,"(0.641, 36.8]"
R_571342238,3,0.6666666666666666,"(0.641, 36.8]"
R_49441405,1,0.0,"(0.641, 36.8]"
R_192925833,4,0.16666666666666666,"(0.641, 36.8]"
R_23096959,32,0.08266129032258064,"(0.641, 36.8]"
R_190994178,1,0.0,"(0.641, 36.8]"
R_2883574,3,0.0,"(0.641, 36.8]"
R_9120526,7,0.09523809523809523,"(0.641, 36.8]"
R_8514,3,0.6666666666666666,"(0.641, 36.8]"
R_253650720,1,0.0,"(0.641, 36.8]"
R_106737290,1,0.0,"(0.641, 36.8]"
R_121870635,1,0.0,"(0.641, 36.8]"
R_252650176,7,0.19047619047619047,"(0.641, 36.8]"
R_7823926,15,0.11428571428571428,"(0.641, 36.8]"
R_50538484,1,0.0,"(0.641, 36.8]"
R_21440127,1,0.0,"(0.641, 36.8]"
R_134603838,1,0.0,"(0.641, 36.8]"
R_10320116,7,0.23809523809523808,"(0.641, 36.8]"
R_70208775,1,0.0,"(0.641, 36.8]"
R_125238132,1,0.0,"(0.641, 36.8]"
R_133411492,1,0.0,"(0.641, 36.8]"
R_790359,1,0.0,"(0.641, 36.8]"
R_169087223,1,0.0,"(0.641, 36.8]"
R_204033634,5,0.1,"(0.641, 36.8]"
R_161155314,1,0.0,"(0.641, 36.8]"
R_145076038,1,0.0,"(0.641, 36.8]"
R_27483832,4,0.5,"(0.641, 36.8]"
R_352804165,1,0.0,"(0.641, 36.8]"
R_8507859,3,0.0,"(0.641, 36.8]"
R_274705319,1,0.0,"(0.641, 36.8]"
R_273550906,1,0.0,"(0.641, 36.8]"
R_183781681,1,0.0,"(0.641, 36.8]"
R_664452562,12,0.015151515151515152,"(0.641, 36.8]"
R_48062626,1,0.0,"(0.641, 36.8]"
R_430398283,1,0.0,"(0.641, 36.8]"
R_9646845,1,0.0,"(0.641, 36.8]"
R_102792138,1,0.0,"(0.641, 36.8]"
R_63840208,1,0.0,"(0.641, 36.8]"
R_473747677,1,0.0,"(0.641, 36.8]"
R_11206255,1,0.0,"(0.641, 36.8]"
R_341316058,1,0.0,"(0.641, 36.8]"
R_52773157,1,0.0,"(0.641, 36.8]"
R_379865325,1,0.0,"(0.641, 36.8]"
R_470755469,1,0.0,"(0.641, 36.8]"
R_200437066,5,0.1,"(0.641, 36.8]"
R_438013940,1,0.0,"(0.641, 36.8]"
R_32769228,1,0.0,"(0.641, 36.8]"
R_23641816,6,0.06666666666666667,"(0.641, 36.8]"
R_42610470,1,0.0,"(0.641, 36.8]"
R_218158416,1,0.0,"(0.641, 36.8]"
