node,clustering_coefficient,node_type,weight,label,degree,repo_id,repo_name,community_id,community_size
R_16563587,0.0761904761904762,Repo,1,R_16563587,276,16563587,cockroachdb/cockroach,3,24
R_927442,0.12418300653594772,Repo,1,R_927442,23,927442,postgres/postgres,5,18
R_4407129,0.16666666666666666,Repo,1,R_4407129,12,4407129,postgis/postgis,4,22
R_176278485,0.0,Repo,1,R_176278485,10,176278485,sqlite/sqlite,3,24
R_11225014,0.027777777777777776,Repo,1,R_11225014,238,11225014,etcd-io/etcd,3,24
R_156018,0.0,Repo,1,R_156018,113,156018,redis/redis,7,7
R_422821402,0.0,Repo,1,R_422821402,103,422821402,FerretDB/FerretDB,3,24
R_41986369,0.25,Repo,1,R_41986369,148,41986369,pingcap/tidb,2,25
R_48833910,0.25,Repo,1,R_48833910,74,48833910,tikv/tikv,2,25
R_24494032,0.0641025641025641,Repo,1,R_24494032,23,24494032,mysql/mysql-server,4,22
R_6838921,0.2222222222222222,Repo,1,R_6838921,193,6838921,prometheus/prometheus,2,25
R_206444,0.30303030303030304,Repo,1,R_206444,61,206444,apache/hive,1,25
R_150954997,0.17857142857142858,Repo,1,R_150954997,122,150954997,VictoriaMetrics/VictoriaMetrics,2,25
R_6934395,0.06159420289855073,Repo,1,R_6934395,69,6934395,facebook/rocksdb,2,25
R_334274271,0.2777777777777778,Repo,1,R_334274271,311,334274271,opensearch-project/OpenSearch,0,28
R_341631350,0.2777777777777778,Repo,1,R_341631350,100,341631350,apache/lucene,0,28
R_507775,0.13071895424836602,Repo,1,R_507775,161,507775,elastic/elasticsearch,0,28
R_17224514,0.0,Repo,1,R_17224514,8,17224514,ehcache/ehcache3,5,18
R_17165658,0.23333333333333334,Repo,1,R_17165658,317,17165658,apache/spark,1,25
R_50229487,1.0,Repo,1,R_50229487,7,50229487,apache/lucene-solr,0,28
R_23418517,0.37777777777777777,Repo,1,R_23418517,10,23418517,apache/hadoop,1,25
R_453068084,0.27472527472527475,Repo,1,R_453068084,321,453068084,risingwavelabs/risingwave,1,25
R_302827809,0.47619047619047616,Repo,1,R_302827809,132,302827809,datafuselabs/databend,6,9
R_138754790,0.20952380952380953,Repo,1,R_138754790,224,138754790,duckdb/duckdb,6,9
R_56128733,0.3333333333333333,Repo,1,R_56128733,19,56128733,apache/impala,1,25
R_9342529,0.3611111111111111,Repo,1,R_9342529,64,9342529,crate/crate,1,25
R_358917318,0.20588235294117646,Repo,1,R_358917318,188,358917318,apache/arrow-datafusion,1,25
R_20587599,0.32727272727272727,Repo,1,R_20587599,93,20587599,apache/flink,1,25
R_393235957,0.3333333333333333,Repo,1,R_393235957,9,393235957,risinglightdb/risinglight,6,9
R_5349565,0.37777777777777777,Repo,1,R_5349565,75,5349565,prestodb/presto,1,25
R_11008207,0.16666666666666666,Repo,1,R_11008207,97,11008207,vitessio/vitess,4,22
R_30753733,0.3333333333333333,Repo,1,R_30753733,10,30753733,percona/percona-server,4,22
R_114187903,0.045454545454545456,Repo,1,R_114187903,39,114187903,apple/foundationdb,4,22
R_456549280,0.3,Repo,1,R_456549280,28,456549280,ydb-platform/ydb,4,22
R_208728772,0.1,Repo,1,R_208728772,120,208728772,milvus-io/milvus,3,24
R_166515022,0.15789473684210525,Repo,1,R_166515022,196,166515022,trinodb/trino,1,25
R_20473418,0.6666666666666666,Repo,1,R_20473418,11,20473418,apache/phoenix,1,25
R_20089857,0.4,Repo,1,R_20089857,27,20089857,apache/hbase,1,25
R_60246359,0.06333333333333334,Repo,1,R_60246359,370,60246359,ClickHouse/ClickHouse,4,22
R_160999,0.0,Repo,1,R_160999,30,160999,apache/zookeeper,1,25
R_581145740,0.3333333333333333,Repo,1,R_581145740,25,581145740,ByConity/ByConity,4,22
