degree,frequency,probability,cumulative_probability,complementary_cumulative
0,122,0.41496598639455784,0.41496598639455784,1.0
1,52,0.17687074829931973,0.5918367346938775,0.5850340136054422
2,28,0.09523809523809523,0.6870748299319728,0.40816326530612246
3,23,0.0782312925170068,0.7653061224489796,0.3129251700680272
4,18,0.061224489795918366,0.8265306122448979,0.2346938775510205
5,10,0.034013605442176874,0.8605442176870748,0.1734693877551021
6,4,0.013605442176870748,0.8741496598639455,0.13945578231292519
7,6,0.02040816326530612,0.8945578231292517,0.12585034013605442
8,5,0.017006802721088437,0.9115646258503401,0.10544217687074829
9,5,0.017006802721088437,0.9285714285714286,0.08843537414965984
10,3,0.01020408163265306,0.9387755102040817,0.07142857142857138
11,2,0.006802721088435374,0.9455782312925171,0.06122448979591832
12,3,0.01020408163265306,0.9557823129251701,0.05442176870748293
13,1,0.003401360544217687,0.9591836734693878,0.04421768707482986
14,2,0.006802721088435374,0.9659863945578232,0.04081632653061217
15,3,0.01020408163265306,0.9761904761904763,0.034013605442176784
16,1,0.003401360544217687,0.979591836734694,0.02380952380952372
17,1,0.003401360544217687,0.9829931972789117,0.02040816326530603
18,2,0.006802721088435374,0.989795918367347,0.017006802721088336
20,1,0.003401360544217687,0.9931972789115647,0.010204081632652958
24,1,0.003401360544217687,0.9965986394557824,0.006802721088435267
25,1,0.003401360544217687,1.0,0.003401360544217687
