category_label,num_nodes,num_edges,density,avg_degree,max_degree,min_degree,avg_clustering,avg_path_length,lcc_size,lcc_coverage,num_components,intra_community_ratio,num_communities,modularity,assortativity,diameter
Relational,3480,4790,0.00039564150089370375,2.7528735632183907,366.0,0.0,0.048502466567367314,3.8529143322064714,3419,0.9824712643678161,16,0.8310952580780528,40,0.7827294690885069,-0.1352443977129081,8.0
Document,1649,1952,0.0007182935229942243,2.367495451788963,153.0,0.0,0.019250024017144544,4.6311762991930685,1579,0.957550030321407,22,0.898870636550308,46,0.8578017293238119,-0.06818433367211152,10.0
Key-value,1527,1866,0.0008007889444777749,2.444007858546169,231.0,1.0,0.02909556808571733,4.386556490330075,1485,0.9724950884086444,18,0.8942565754159957,39,0.7043554960075795,-0.05351117973259899,12.0
Search Engine,702,754,0.0015322026734294922,2.1481481481481484,308.0,1.0,0.031108667485544524,3.403474351113836,700,0.9971509971509972,2,0.9349269588313412,8,0.521104137565904,-0.044707331209156716,6.0
Time Series,695,841,0.0017436195136110132,2.420143884892086,189.0,1.0,0.04799905617685214,3.7816183298060113,692,0.99568345323741,2,0.8760429082240763,13,0.8313485323083907,-0.13806363658790835,8.0
Graph,494,581,0.002385625477330399,2.3522267206477734,91.0,1.0,0.025146658207477596,4.3867202449292,469,0.9493927125506073,8,0.9155172413793103,20,0.7474135107866918,0.07689810689498176,9.0
Wide column,478,525,0.0023025709849740796,2.196652719665272,118.0,1.0,0.015367284333825414,3.910598843890073,478,1.0,1,0.9104761904761904,11,0.7982082351105243,-0.07586107257574501,8.0
Vector,429,456,0.0024834978106006143,2.125874125874126,179.0,1.0,0.0,3.589535740604274,414,0.965034965034965,6,0.9407894736842105,14,0.7609833531376838,-0.0897756615539955,8.0
Object Oriented,402,424,0.0026302403195990125,2.109452736318408,140.0,1.0,0.0,3.5100238376978616,342,0.8507462686567164,11,0.9504716981132075,18,0.6378592672298433,0.013280436087688351,7.0
RDF,140,144,0.0073997944501541625,2.057142857142857,80.0,1.0,0.0,3.021514883583849,117,0.8357142857142857,6,0.9722222222222222,8,0.7456659511855648,-0.008338372837994735,6.0
Native XML,102,105,0.01019219569015725,2.0588235294117645,93.0,1.0,0.0,2.3063482818870122,102,1.0,1,0.9714285714285714,2,0.11429087052336392,-0.2811833065637791,4.0
Spatial,73,74,0.014079147640791476,2.0273972602739727,61.0,1.0,0.0,2.131934731934732,66,0.9041095890410958,2,0.9864864864864865,3,0.32648077908418033,-0.13226256554061636,3.0
Hierarchical,65,69,0.01658653846153846,2.123076923076923,44.0,1.0,0.0,2.7634615384615384,65,1.0,1,0.9420289855072463,2,0.08321262169221222,-0.09206151126798744,4.0
Array,64,64,0.015873015873015872,2.0,45.0,1.0,0.0,1.9545454545454546,44,0.6875,4,1.0,4,0.15241632889336304,,2.0
Event,27,27,0.038461538461538464,2.0,25.0,1.0,0.0,1.9166666666666667,24,0.8888888888888888,2,1.0,2,0.0031766120369705435,,2.0
Content,6,6,0.2,2.0,7.0,1.0,0.0,1.6666666666666667,6,1.0,1,1.0,1,0.0,,2.0
Columnar,1,1,0.0,2.0,2.0,2.0,0.0,0.0,0,0.0,1,1.0,1,1.1102230246251565e-16,,0.0
Multivalue,1,1,0.0,2.0,2.0,2.0,0.0,0.0,0,0.0,1,1.0,1,0.0,,0.0
