category_label,repo_count,Actor,Branch,Branch_Tag_GHDir,Commit,CommitComment,GitHub_Files_FileChanges,GitHub_GenSer_Other_Links,GitHub_Other_Service,GitHub_Service_External_Links,Gollum,Issue,IssueComment,PullRequest,PullRequestReview,PullRequestReviewComment,Release,Repo,Tag,total_refs,Actor_prop,Branch_prop,Branch_Tag_GHDir_prop,Commit_prop,CommitComment_prop
Relational,101,314092,325,22734,159419,0,134040,25819,21368,1052459,3664,225284,8822,425222,6951,2475,728,12470,173,2416045,0.1300025454823896,0.00013451736205244522,0.009409592950462429,0.06598345643396543,0.0
Key-value,76,111694,92,335,133269,2,24701,5825,4226,586100,4995,32678,6005,86422,6628,461,139,4919,40,1008531,0.11074919858685553,9.122178693565195e-05,0.00033216628938525437,0.13214169916442825,1.983082324688086e-06
Document,78,44642,63,381,47166,2,8174,8386,2935,231045,4957,24568,809,103505,49,564,703,7354,57,485360,0.09197708917092468,0.00012980056040876874,0.0007849843415196967,0.0971773528926982,4.120652711389484e-06
Search Engine,8,34024,47,173,24834,0,26347,6092,1222,77619,20,13065,782,48084,37,404,97,42592,43,275482,0.12350716199243508,0.00017061005800741972,0.0006279902135166726,0.09014745065013322,0.0
Vector,14,46853,20,393,13243,0,16785,10089,1488,101708,49,5063,1543,30267,878,60,76,5909,5,234429,0.1998600855696181,8.531367706213822e-05,0.001676413754271016,0.05649045126669482,0.0
Time Series,21,32626,64,176,5204,1,4685,3766,3774,90221,49,8566,508,55597,14,82,302,4083,26,209744,0.1555515294835609,0.0003051338774887482,0.0008391181630940575,0.02481119841330384,4.7677168357616904e-06
Object Oriented,19,7502,133,172,2986,0,1215,1459,347,59506,16,11681,540,41892,117,538,34,640,13,128791,0.0582494118377837,0.0010326808550286898,0.0013354970456010125,0.023184849873050136,0.0
Wide column,11,18205,72,136,6658,0,5845,2653,1181,47926,3192,6221,442,25815,21,153,294,792,24,119630,0.15217754743793363,0.0006018557218089108,0.0011368385856390538,0.055654936052829555,0.0
Graph,26,10540,26,151,4996,4,1830,4296,1167,33186,21,4136,186,45676,13,52,22,2675,4,108981,0.09671410612859123,0.00023857369633238822,0.0013855626210073316,0.045842853341408134,3.670364558959819e-05
Hierarchical,2,1541,3,19,410,0,105,512,230,54838,0,36,12,8731,0,5,6,155,5,66608,0.0231353591160221,4.503963487869325e-05,0.0002852510208983906,0.006155416766754744,0.0
Native XML,2,1088,1,5,93,0,166,590,225,17581,0,239,14,707,1,5,4,430,1,21150,0.05144208037825059,4.728132387706856e-05,0.00023640661938534278,0.0043971631205673755,0.0
Array,4,826,0,10,291,0,244,302,164,2258,0,149,11,7685,3,17,2,184,0,12146,0.06800592787749053,0.0,0.0008233163181294253,0.023958504857566277,0.0
RDF,8,1063,3,15,144,0,663,312,112,1867,3,739,26,2513,0,5,2,262,0,7729,0.13753396299650666,0.00038814853150472245,0.0019407426575236125,0.018631129512226677,0.0
Event,2,294,0,26,164,0,69,72,25,650,0,59,8,2686,0,0,0,59,0,4112,0.07149805447470817,0.0,0.00632295719844358,0.03988326848249027,0.0
Spatial,3,325,0,6,46,0,125,32,83,2629,1,69,1,432,0,0,3,54,0,3806,0.08539148712559118,0.0,0.0015764582238570678,0.01208617971623752,0.0
Columnar,1,94,0,0,146,0,6,0,0,351,0,0,0,975,0,0,0,4,0,1576,0.05964467005076142,0.0,0.0,0.09263959390862944,0.0
Content,1,3,0,0,0,0,2,7,7,239,0,0,0,5,0,0,0,6,0,269,0.011152416356877323,0.0,0.0,0.0,0.0
Multivalue,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0
