repo_id,repo_name,self_ref_ratio,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,project_age_years,external_ref_ratio
41986369,pingcap/tidb,0.2358012411395671,pingcap/tidb,156795,2015-09-06T04:01:52Z,Key-value,8.314852840520192,0.7641987588604329
41986369,pingcap/tidb,0.2358012411395671,pingcap/tidb,156795,2015-09-06T04:01:52Z,Relational,8.314852840520192,0.7641987588604329
16563587,cockroachdb/cockroach,0.6341031777316337,cockroachdb/cockroach,151646,2014-02-06T00:18:47Z,Relational,9.894592744695414,0.3658968222683663
99919302,apache/doris,0.3935038195847524,apache/doris,147649,2017-08-10T12:13:30Z,Relational,6.3874058863791925,0.6064961804152476
507775,elastic/elasticsearch,0.6147933587020313,elastic/elasticsearch,85261,2010-02-08T13:20:56Z,Document,13.88911704312115,0.38520664129796867
507775,elastic/elasticsearch,0.6147933587020313,elastic/elasticsearch,85261,2010-02-08T13:20:56Z,Search Engine,13.88911704312115,0.38520664129796867
60246359,ClickHouse/ClickHouse,0.6851912261701267,ClickHouse/ClickHouse,78015,2016-06-02T08:28:18Z,Relational,7.575633127994524,0.31480877382987327
334274271,opensearch-project/OpenSearch,0.3596535529974515,opensearch-project/OpenSearch,74384,2021-01-29T22:10:00Z,Search Engine,2.915811088295688,0.6403464470025485
17165658,apache/spark,0.2568893992147567,apache/spark,73225,2014-02-25T08:00:08Z,Relational,9.842573579739904,0.7431106007852433
208728772,milvus-io/milvus,0.2815335349581925,milvus-io/milvus,69104,2019-09-16T06:43:43Z,Vector,4.287474332648871,0.7184664650418076
388946490,facebookincubator/velox,0.2592796626267999,facebookincubator/velox,61397,2021-07-23T23:00:23Z,Relational,2.43668720054757,0.7407203373732001
166515022,trinodb/trino,0.4226510980700587,trinodb/trino,52307,2019-01-19T06:38:14Z,Relational,4.944558521560575,0.5773489019299414
453068084,risingwavelabs/risingwave,0.4829209406895494,risingwavelabs/risingwave,49277,2022-01-28T12:58:03Z,Relational,1.919233401779603,0.5170790593104506
114187903,apple/foundationdb,0.3548510350638281,apple/foundationdb,45114,2017-12-14T01:40:42Z,Key-value,6.0424366872005475,0.6451489649361719
114187903,apple/foundationdb,0.3548510350638281,apple/foundationdb,45114,2017-12-14T01:40:42Z,Document,6.0424366872005475,0.6451489649361719
339993112,matrixorigin/matrixone,0.516458026509573,matrixorigin/matrixone,35681,2021-02-18T09:07:17Z,Relational,2.861054072553046,0.48354197349042705
358917318,apache/arrow-datafusion,0.4528060263653484,apache/arrow-datafusion,31591,2021-04-17T15:40:23Z,Relational,2.702258726899384,0.5471939736346516
20587599,apache/flink,0.2860689166026361,apache/flink,28643,2014-06-07T07:00:10Z,Relational,9.56331279945243,0.7139310833973639
3786237,hazelcast/hazelcast,0.2598692936551957,hazelcast/hazelcast,28226,2012-03-21T12:25:18Z,Key-value,11.775496235455167,0.7401307063448044
302827809,datafuselabs/databend,0.2727429507631284,datafuselabs/databend,28205,2020-10-10T06:04:42Z,Relational,3.2197125256673513,0.7272570492368716
351806852,neondatabase/neon,0.4940905374265963,neondatabase/neon,28189,2021-03-26T14:20:47Z,Relational,2.7624914442162902,0.5059094625734037
351806852,neondatabase/neon,0.4940905374265963,neondatabase/neon,28189,2021-03-26T14:20:47Z,Object Oriented,2.7624914442162902,0.5059094625734037
49876476,apache/shardingsphere,0.4682279724860793,apache/shardingsphere,24726,2016-01-18T12:49:26Z,Relational,7.94798083504449,0.5317720275139207
48833910,tikv/tikv,0.4146263231048861,tikv/tikv,24475,2015-12-31T04:51:32Z,Key-value,7.997262149212868,0.5853736768951139
5349565,prestodb/presto,0.4423321426409154,prestodb/presto,24094,2012-08-09T01:03:37Z,Key-value,11.38945927446954,0.5576678573590845
5349565,prestodb/presto,0.4423321426409154,prestodb/presto,24094,2012-08-09T01:03:37Z,Relational,11.38945927446954,0.5576678573590845
5349565,prestodb/presto,0.4423321426409154,prestodb/presto,24094,2012-08-09T01:03:37Z,Document,11.38945927446954,0.5576678573590845
5349565,prestodb/presto,0.4423321426409154,prestodb/presto,24094,2012-08-09T01:03:37Z,Wide column,11.38945927446954,0.5576678573590845
385634291,grafana/mimir,0.3309182861688828,grafana/mimir,23492,2021-07-13T14:34:08Z,Relational,2.4640657084188913,0.6690817138311171
6358188,apache/druid,0.6491730981256891,apache/druid,22993,2012-10-23T19:08:07Z,Relational,11.184120465434633,0.35082690187431087
6358188,apache/druid,0.6491730981256891,apache/druid,22993,2012-10-23T19:08:07Z,Wide column,11.184120465434633,0.35082690187431087
11008207,vitessio/vitess,0.222680432099356,vitessio/vitess,22224,2013-06-27T21:20:28Z,Relational,10.507871321013004,0.7773195679006439
19961085,apache/pinot,0.1969413700269219,apache/pinot,22019,2014-05-19T23:27:48Z,Relational,9.61533196440794,0.8030586299730781
138754790,duckdb/duckdb,0.5667457998539079,duckdb/duckdb,20663,2018-06-26T15:04:45Z,Relational,5.51129363449692,0.43325420014609206
480217156,GreptimeTeam/greptimedb,0.3545561275173846,GreptimeTeam/greptimedb,19961,2022-04-11T03:46:48Z,Time Series,1.7193702943189597,0.6454438724826155
105944401,yugabyte/yugabyte-db,0.376874387762791,yugabyte/yugabyte-db,18841,2017-10-05T21:56:00Z,Key-value,6.234086242299795,0.6231256122372091
105944401,yugabyte/yugabyte-db,0.376874387762791,yugabyte/yugabyte-db,18841,2017-10-05T21:56:00Z,Relational,6.234086242299795,0.6231256122372091
2944302,wiredtiger/wiredtiger,0.8407905035220454,wiredtiger/wiredtiger,18588,2011-12-09T00:43:19Z,Key-value,12.057494866529774,0.15920949647795457
422821402,FerretDB/FerretDB,0.212758607454036,FerretDB/FerretDB,17804,2021-10-30T08:06:36Z,Document,2.1656399726214923,0.787241392545964
206444,apache/hive,0.015545103577082,apache/hive,17402,2009-05-21T02:31:01Z,Relational,14.609171800136892,0.984454896422918
911980,tarantool/tarantool,0.5463227330904795,tarantool/tarantool,16770,2010-09-15T07:59:26Z,Key-value,13.289527720739219,0.4536772669095205
911980,tarantool/tarantool,0.5463227330904795,tarantool/tarantool,16770,2010-09-15T07:59:26Z,Document,13.289527720739219,0.4536772669095205
11225014,etcd-io/etcd,0.294566924868642,etcd-io/etcd,16581,2013-07-06T21:57:21Z,Key-value,10.483230663928817,0.705433075131358
2649214,arangodb/arangodb,0.6526440630668341,arangodb/arangodb,16470,2011-10-26T06:42:00Z,Key-value,12.177960301163587,0.3473559369331659
2649214,arangodb/arangodb,0.6526440630668341,arangodb/arangodb,16470,2011-10-26T06:42:00Z,Document,12.177960301163587,0.3473559369331659
2649214,arangodb/arangodb,0.6526440630668341,arangodb/arangodb,16470,2011-10-26T06:42:00Z,Graph,12.177960301163587,0.3473559369331659
114619105,apache/kyuubi,0.3291508608112051,apache/kyuubi,16360,2017-12-18T09:05:10Z,Relational,6.031485284052019,0.670849139188795
60377070,vespa-engine/vespa,0.2207289293849658,vespa-engine/vespa,16041,2016-06-03T20:54:20Z,Document,7.572895277207392,0.7792710706150342
60377070,vespa-engine/vespa,0.2207289293849658,vespa-engine/vespa,16041,2016-06-03T20:54:20Z,Search Engine,7.572895277207392,0.7792710706150342
542714,ravendb/ravendb,0.2638926909389543,ravendb/ravendb,15125,2010-03-02T11:05:30Z,Key-value,13.828884325804244,0.7361073090610457
542714,ravendb/ravendb,0.2638926909389543,ravendb/ravendb,15125,2010-03-02T11:05:30Z,Document,13.828884325804244,0.7361073090610457
158975124,apache/iotdb,0.1418260389849209,apache/iotdb,14712,2018-11-24T21:29:17Z,Time Series,5.0978781656399725,0.8581739610150791
158975124,apache/iotdb,0.1418260389849209,apache/iotdb,14712,2018-11-24T21:29:17Z,Hierarchical,5.0978781656399725,0.8581739610150791
206424,apache/cassandra,0.1204022228102672,apache/cassandra,14020,2009-05-21T02:10:09Z,Key-value,14.609171800136892,0.8795977771897328
