DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Oct-2024,Rank_Oct-2024
3store,3store,,X_Single,Y_auto,3store,RDF,C,SPARQL,Shared-Everything,Southampton University,GB,2003,2006,"Academic,Open Source",GPL v2,-,-,Y,,
4store,4store,4store,Normal,Y_auto,4store,RDF,C,SPARQL,,,GB,2009,,Open Source,GPL v3,4store/4store,248094,Y,0.5,248
abhot,abhot,,X_Single,Y_auto,abhot,,Java,,,,CN,2017,2017,"Academic,Open Source",Apache v2,quqiangsheng/abhot,95753144,Y,,
accumulo,accumulo,apache-accumulo,Fuzzy:Normal,Y,Apache Accumulo,Wide column,Java,"Custom API,Command-line / Shell",Shared-Disk,US National Security Agency,US,2008,2022,Open Source,Apache v2,apache/accumulo,2524488,Y,3.31,82
acebase,acebase,acebase,Normal,Y_auto,AceBase,Document,TypeScript,Custom API,"Shared-Everything,Embedded",Ewout Stortenbeker,NL,2018,,"Hobby,Open Source",MIT,appy-one/acebase,137869753,Y,0.01,372
acedb,acedb,,X_Single,Y_auto,AceDB,,C,,,"Richard M. Durbin, Jean Thierry-Mieg",GB,1989,2018,"Academic,Open Source","GPL v2,LGPL v2",richarddurbin/acedb,71249290,Y,,
actordb,actordb,actordb,Normal,Y_auto,ActorDB,Relational,Erlang,"Custom API,SQL",Shared-Nothing,Biokoda,SI,2014,,"Commercial,Open Source",Mozilla Public License 2.0,biokoda/actordb,16109206,Y,0.0,388
aerospike,aerospike,aerospike,Normal,Y_auto,Aerospike,Key-value,C,Custom API,Shared-Nothing,"Aerospike, Inc.",US,2009#dbdbio>|<dbengines#2012,2024,"Commercial,Open Source",AGPL v3 and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,aerospike/aerospike-server,124315604,Y,5.57,60
agatedb,agatedb,,X_Single,Y_auto,AgateDB,Key-value,Rust,Custom API,Embedded,PingCAP,CN,2019,,"Industrial Research,Open Source",Apache v2,tikv/agatedb,184227406,Y,,
agedb,agedb,,X_Single,Y_auto,AGEDB,Graph,C,"SQL,Cypher",,Apache,CA,2019,,"Commercial,Open Source",Apache v2,apache/age,276293034,Y,,
agensgraph,agensgraph,agensgraph,Normal,Y_auto,AgensGraph,"Relational,Key-value,Document,Graph",C,"SQL,Cypher",Shared-Everything,Bitnine Global Inc.,US,2013#dbdbio>|<dbengines#2016,2018,"Commercial,Open Source",Apache v2,bitnine-oss/agensgraph,57401138,Y,0.16,322
akdb,akdb,,X_Single,Y_auto,AKDB,Relational,C,SQL,Shared-Everything,University of Zagreb,HR,2009,,"Academic,Educational,Open Source",,minovakovi/akdb,463071559,Y,,
akumuli,akumuli,,X_Single,Y_auto,Akumuli,,C++,Custom API,,,RU,2013,,Open Source,Apache v2,akumuli/Akumuli,16326644,Y,,
akutan,akutan,,X_Single,Y_auto,Akutan,RDF,Go,Custom API,Shared-Nothing,eBay,US,2019,,"Industrial Research,Open Source",Apache v2,eBay/akutan,179586596,Y,,
alasql,alasql,alasql,Normal,Y_auto,AlaSQL,"Relational,Document",JavaScript,SQL,,Andrey Gershun & Mathias R. Wulff,RU,2014,,Open Source,MIT,AlaSQL/alasql,25780780,Y,0.41,262
alchemydb,alchemydb,,X_Single,Y_auto,AlchemyDB,Relational,C,SQL,Shared-Everything,Russell Sullivan,US,2010,2012,"Commercial,Open Source",AGPL v3,JakSprats/Alchemy-Database,858418,Y,,
