repo_id,repo_name,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label
402945349,,StarRocks/starrocks,174290,,
41986369,pingcap/tidb,pingcap/tidb,156795,2015-09-06T04:01:52Z,"Key-value,Relational"
16563587,cockroachdb/cockroach,cockroachdb/cockroach,151646,2014-02-06T00:18:47Z,Relational
99919302,apache/doris,apache/doris,147649,2017-08-10T12:13:30Z,Relational
507775,elastic/elasticsearch,elastic/elasticsearch,85261,2010-02-08T13:20:56Z,"Document,Search Engine"
60246359,ClickHouse/ClickHouse,ClickHouse/ClickHouse,78015,2016-06-02T08:28:18Z,Relational
334274271,opensearch-project/OpenSearch,opensearch-project/OpenSearch,74384,2021-01-29T22:10:00Z,Search Engine
17165658,apache/spark,apache/spark,73225,2014-02-25T08:00:08Z,Relational
208728772,milvus-io/milvus,milvus-io/milvus,69104,2019-09-16T06:43:43Z,Vector
388946490,facebookincubator/velox,facebookincubator/velox,61397,2021-07-23T23:00:23Z,Relational
28449431,,scylladb/scylladb,59923,,
166515022,trinodb/trino,trinodb/trino,52307,2019-01-19T06:38:14Z,Relational
453068084,risingwavelabs/risingwave,risingwavelabs/risingwave,49277,2022-01-28T12:58:03Z,Relational
114187903,apple/foundationdb,apple/foundationdb,45114,2017-12-14T01:40:42Z,"Key-value,Document"
339993112,matrixorigin/matrixone,matrixorigin/matrixone,35681,2021-02-18T09:07:17Z,Relational
358917318,apache/arrow-datafusion,apache/arrow-datafusion,31591,2021-04-17T15:40:23Z,Relational
20587599,apache/flink,apache/flink,28643,2014-06-07T07:00:10Z,Relational
3786237,hazelcast/hazelcast,hazelcast/hazelcast,28226,2012-03-21T12:25:18Z,Key-value
302827809,datafuselabs/databend,datafuselabs/databend,28205,2020-10-10T06:04:42Z,Relational
351806852,neondatabase/neon,neondatabase/neon,28189,2021-03-26T14:20:47Z,"Object Oriented,Relational"
49876476,apache/shardingsphere,apache/shardingsphere,24726,2016-01-18T12:49:26Z,Relational
44781140,greenplum-db/gpdb,greenplum-db/gpdb,24704,,Relational
48833910,tikv/tikv,tikv/tikv,24475,2015-12-31T04:51:32Z,Key-value
5349565,prestodb/presto,prestodb/presto,24094,2012-08-09T01:03:37Z,"Wide column,Relational,Key-value,Document"
385634291,grafana/mimir,grafana/mimir,23492,2021-07-13T14:34:08Z,Relational
6358188,apache/druid,apache/druid,22993,2012-10-23T19:08:07Z,"Wide column,Relational"
11008207,vitessio/vitess,vitessio/vitess,22224,2013-06-27T21:20:28Z,Relational
19961085,apache/pinot,apache/pinot,22019,2014-05-19T23:27:48Z,Relational
138754790,duckdb/duckdb,duckdb/duckdb,20663,2018-06-26T15:04:45Z,Relational
480217156,GreptimeTeam/greptimedb,GreptimeTeam/greptimedb,19961,2022-04-11T03:46:48Z,Time Series
105944401,yugabyte/yugabyte-db,yugabyte/yugabyte-db,18841,2017-10-05T21:56:00Z,"Relational,Key-value"
2944302,wiredtiger/wiredtiger,wiredtiger/wiredtiger,18588,2011-12-09T00:43:19Z,Key-value
422821402,FerretDB/FerretDB,FerretDB/FerretDB,17804,2021-10-30T08:06:36Z,Document
23418517,apache/hadoop,apache/hadoop,17488,2014-08-28T07:00:08Z,
206444,apache/hive,apache/hive,17402,2009-05-21T02:31:01Z,Relational
911980,tarantool/tarantool,tarantool/tarantool,16770,2010-09-15T07:59:26Z,"Key-value,Document"
11225014,etcd-io/etcd,etcd-io/etcd,16581,2013-07-06T21:57:21Z,Key-value
2649214,arangodb/arangodb,arangodb/arangodb,16470,2011-10-26T06:42:00Z,"Key-value,Document,Graph"
114619105,apache/kyuubi,apache/kyuubi,16360,2017-12-18T09:05:10Z,Relational
60377070,vespa-engine/vespa,vespa-engine/vespa,16041,2016-06-03T20:54:20Z,"Document,Search Engine"
542714,ravendb/ravendb,ravendb/ravendb,15125,2010-03-02T11:05:30Z,"Key-value,Document"
158975124,apache/iotdb,apache/iotdb,14712,2018-11-24T21:29:17Z,"Hierarchical,Time Series"
206424,apache/cassandra,apache/cassandra,14020,2009-05-21T02:10:09Z,"Wide column,Key-value"
156018,redis/redis,redis/redis,13796,2009-03-21T22:32:25Z,Key-value
196353673,taosdata/TDengine,taosdata/TDengine,13449,2019-07-11T08:33:48Z,"Relational,Time Series"
84240850,timescale/timescaledb,timescale/timescaledb,12176,2017-03-07T20:03:41Z,Time Series
9342529,crate/crate,crate/crate,12002,2013-04-10T09:17:16Z,Document
150954997,VictoriaMetrics/VictoriaMetrics,VictoriaMetrics/VictoriaMetrics,11965,2018-09-30T09:58:01Z,"Wide column,Time Series"
268163609,qdrant/qdrant,qdrant/qdrant,11528,2020-05-30T21:37:01Z,Vector
6934395,facebook/rocksdb,facebook/rocksdb,10916,2012-11-30T06:16:18Z,Key-value
20089857,apache/hbase,apache/hbase,10551,2014-05-23T07:00:07Z,Wide column
546206616,chroma-core/chroma,chroma-core/chroma,10539,2022-10-05T17:58:44Z,"Document,Vector"
341631350,apache/lucene,apache/lucene,10488,2021-02-23T17:16:56Z,Document
6838921,prometheus/prometheus,prometheus/prometheus,10481,2012-11-24T11:14:12Z,"Key-value,Time Series"
19257422,questdb/questdb,questdb/questdb,9808,2014-04-28T23:29:15Z,"Relational,Time Series"
2524488,apache/accumulo,apache/accumulo,9738,2011-10-06T07:00:09Z,Wide column
198683574,dolthub/dolt,dolthub/dolt,9686,2019-07-24T17:46:25Z,Relational
55072677,,weaviate/weaviate,9127,,
298763623,kuzudb/kuzu,kuzudb/kuzu,8762,2020-09-26T07:43:06Z,Graph
50874442,citusdata/citus,citusdata/citus,8747,2016-02-01T21:58:39Z,Relational
357707809,quickwit-oss/quickwit,quickwit-oss/quickwit,8429,2021-04-13T22:45:40Z,Document
1917262,realm/realm-core,realm/realm-core,8244,2011-06-18T21:18:46Z,"Object Oriented,Document"
95817032,edgedb/edgedb,edgedb/edgedb,8131,2017-06-29T20:30:48Z,"Object Oriented,Relational"
52080367,CUBRID/cubrid,CUBRID/cubrid,7736,2016-02-19T10:25:32Z,"Object Oriented,Relational"
1050944,infinispan/infinispan,infinispan/infinispan,7337,2010-11-04T12:33:19Z,Key-value
478288303,nuclia/nucliadb,nuclia/nucliadb,7256,2022-04-05T20:21:54Z,Vector
195619075,vdaas/vald,vdaas/vald,7085,2019-07-07T06:42:22Z,Vector
182849188,delta-io/delta,delta-io/delta,6713,2019-04-22T18:56:51Z,Wide column
86868560,TileDB-Inc/TileDB,TileDB-Inc/TileDB,6393,2017-03-31T23:44:23Z,Array
496817075,GlareDB/glaredb,GlareDB/glaredb,5905,2022-05-27T00:52:47Z,Relational
26127968,,OpenAtomFoundation/pika,5837,,
130688011,meilisearch/meilisearch,meilisearch/meilisearch,5552,2018-04-23T11:45:28Z,"Document,Search Engine"
496505424,,CeresDB/ceresdb,5092,,
276293034,apache/age,apache/age,5007,2020-07-01T06:15:47Z,Graph
202483348,,apache/kvrocks,4809,,
19816070,MariaDB/server,MariaDB/server,4735,2014-05-15T10:58:50Z,Relational
