database,table,name,type,position,default_kind,default_expression,data_compressed_bytes,data_uncompressed_bytes,marks_bytes,comment,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision
opensource,events,platform,"Enum8('GitHub' = 1, 'Gitee' = 2, 'AtomGit' = 3, 'GitLab.com' = 4, 'Gitea' = 5, 'GitLab.cn' = 6)",1,,,35905059,7999221008,26556504,,0,1,1,0,,,,,,
opensource,events,id,UInt64,2,,,42629327864,63993768064,26556504,,0,1,1,0,,,64.0,2.0,0.0,
opensource,events,type,"Enum8('CommitCommentEvent' = 1, 'CreateEvent' = 2, 'DeleteEvent' = 3, 'ForkEvent' = 4, 'GollumEvent' = 5, 'IssueCommentEvent' = 6, 'IssuesEvent' = 7, 'MemberEvent' = 8, 'PublicEvent' = 9, 'PullRequestEvent' = 10, 'PullRequestReviewCommentEvent' = 11, 'PushEvent' = 12, 'ReleaseEvent' = 13, 'WatchEvent' = 14, 'PullRequestReviewEvent' = 15, 'IssuesReactionEvent' = 16, 'IssueCommentsReactionEvent' = 17, 'LabelEvent' = 18, 'ReactionPlaceholderEvent' = 126, 'LabelPlaceholderEvent' = 127)",3,,,35504609,7999221008,26556504,,0,1,1,0,,,,,,
opensource,events,action,"Enum8('added' = 1, 'closed' = 2, 'created' = 3, 'labeled' = 4, 'opened' = 5, 'published' = 6, 'reopened' = 7, 'started' = 8)",4,,,358231326,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,actor_id,UInt64,5,,,12592811768,63993768064,26556504,,0,1,1,0,,,64.0,2.0,0.0,
opensource,events,actor_login,LowCardinality(String),6,,,22717484695,33040796475,53113008,,0,0,0,0,,,,,,
opensource,events,repo_id,UInt64,7,,,8382777202,63993768064,26556504,,0,1,1,0,,,64.0,2.0,0.0,
opensource,events,repo_name,LowCardinality(String),8,,,36177957046,53146069071,53113008,,0,0,0,0,,,,,,
opensource,events,org_id,UInt64,9,,,2330367935,63993768064,26556504,,0,1,1,0,,,64.0,2.0,0.0,
opensource,events,org_login,LowCardinality(String),10,,,2866477914,17381156771,53113008,,0,0,0,0,,,,,,
